iter	Passed	Remaining
406	3396	4949
407	3402	4937
408	3407	4923
409	3412	4909
410	3417	4897
411	3421	4883
412	3426	4869
413	3431	4856
414	3435	4842
415	3439	4827
416	3443	4814
417	3447	4800
418	3452	4787
419	3456	4773
420	3460	4759
421	3465	4746
422	3469	4732
423	3473	4718
424	3477	4705
425	3481	4691
426	3485	4677
427	3489	4663
428	3494	4650
429	3497	4636
430	3502	4623
431	3506	4609
432	3510	4596
433	3514	4583
434	3519	4570
435	3523	4557
436	3527	4545
437	3531	4531
438	3535	4518
439	3539	4505
440	3543	4492
441	3548	4479
442	3552	4466
443	3556	4453
444	3560	4441
445	3565	4428
446	3569	4415
447	3573	4402
448	3577	4390
449	3582	4378
450	3587	4366
451	3591	4354
452	3595	4341
453	3600	4330
454	3605	4318
455	3610	4306
456	3614	4294
457	3619	4283
458	3624	4271
459	3629	4260
460	3634	4249
461	3640	4239
462	3646	4228
463	3650	4216
464	3657	4208
465	3662	4197
466	3668	4187
467	3675	4177
468	3679	4165
469	3684	4154
470	3688	4143
471	3694	4132
472	3700	4122
473	3705	4111
474	3710	4100
475	3715	4089
476	3722	4081
477	3726	4070
478	3733	4060
479	3739	4050
480	3744	4039
481	3749	4029
482	3754	4019
483	3759	4007
484	3763	3995
485	3768	3985
486	3773	3974
487	3778	3963
488	3785	3955
489	3790	3945
490	3795	3934
491	3802	3925
492	3807	3915
493	3814	3907
494	3821	3898
495	3825	3887
496	3832	3878
497	3837	3867
498	3841	3857
499	3852	3852
500	3856	3841
501	3862	3832
502	3868	3822
503	3874	3812
504	3882	3805
505	3887	3795
506	3893	3785
507	3898	3776
508	3903	3765
509	3907	3754
510	3913	3745
511	3918	3734
512	3923	3724
513	3928	3714
514	3934	3705
515	3941	3696
516	3948	3688
517	3953	3678
518	3960	3670
519	3964	3659
520	3969	3649
521	3975	3640
522	3983	3632
523	3988	3623
524	3993	3613
525	3998	3603
526	4005	3595
527	4011	3586
528	4016	3575
529	4021	3566
530	4027	3557
531	4032	3547
532	4039	3539
533	4046	3530
534	4059	3527
535	4076	3528
536	4090	3526
537	4104	3525
538	4116	3521
539	4130	3518
540	4145	3517
541	4158	3514
542	4170	3510
543	4184	3507
544	4195	3502
545	4208	3499
546	4220	3495
547	4232	3491
548	4244	3486
549	4255	3481
550	4266	3476
551	4276	3470
552	4287	3465
553	4297	3459
554	4306	3453
555	4316	3446
556	4325	3440
557	4334	3433
558	4344	3427
559	4354	3421
560	4364	3415
561	4374	3409
562	4386	3404
563	4399	3401
564	4409	3394
565	4418	3387
566	4427	3380
567	4436	3374
568	4446	3367
569	4458	3363
570	4468	3357
571	4480	3352
572	4491	3347
573	4501	3340
574	4511	3334
575	4523	3330
576	4533	3323
577	4543	3317
578	4555	3312
579	4585	3320
580	4600	3317
581	4611	3312
582	4622	3306
583	4632	3300
584	4641	3292
585	4650	3285
586	4659	3278
587	4668	3271
588	4677	3264
589	4686	3256
590	4696	3250
591	4705	3242
592	4715	3236
593	4727	3231
594	4740	3226
595	4750	3220
596	4761	3214
597	4773	3209
598	4784	3203
599	4794	3196
600	4804	3189
601	4815	3183
602	4825	3177
603	4835	3170
604	4845	3163
605	4855	3156
606	4865	3149
607	4875	3143
608	4885	3136
609	4896	3130
610	4907	3124
611	4918	3118
612	4928	3111
613	4939	3105
614	4950	3099
615	4962	3093
616	4973	3087
617	4984	3080
618	4998	3076
619	5009	3070
620	5022	3065
621	5033	3059
622	5049	3055
623	5060	3049
624	5075	3045
